REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
r2126,0.0,0.0,0.0,-59.38,59.38
r2127,0.0,0.0,0.0,-59.37,59.38
r2128,0.0,0.0,0.0,-59.37,59.38
r2129,0.0,0.0,0.0,-59.38,59.38
r2130,0.0,0.0,0.0,-59.38,59.38
r2131,0.0,0.0,-0.0,-59.38,59.38
r2132,0.0,0.0,-0.0,-59.38,59.37
r2133,0.0,0.0,-0.0,-59.38,59.38
r2136,0.0,0.0,2.64,-56.74,62.01
r2139,0.0,0.0,-2.9,-91.97,86.16
r2140,-0.0,0.0,-5.8,-94.87,83.27
r2141,0.0,0.0,-5.8,-94.86,83.27
r2142,0.0,0.0,-5.8,-94.86,83.27
r2143,0.0,0.0,-2.91,-91.97,86.16
r2144,0.0,0.0,-2.9,-91.97,86.16
r2145,0.0,0.0,-2.9,-91.97,86.16
r2146,0.0,0.0,-5.8,-94.86,83.27
r2147,0.0,0.0,-5.8,-94.86,83.27
r2148,0.0,0.0,-5.8,-94.86,83.27
r2149,0.0,0.0,-0.01,-89.08,89.06
r2150,0.0,0.0,-0.01,-89.08,89.06
r2151,0.0,0.0,0.03,-89.03,89.1
r2152,0.0,0.0,0.03,-89.03,89.1
r2153,0.0,0.0,0.03,-89.03,89.1
r2154,0.0,0.0,-2.86,-91.93,86.21
r2155,0.0,0.0,-2.86,-91.93,86.21
r2156,0.0,0.0,-2.86,-91.93,86.21
r2157,0.0,0.0,0.03,-89.03,89.1
r2158,0.0,0.0,0.03,-89.03,89.1
r2159,0.0,0.0,0.03,-89.03,89.1
r2160,0.0,0.0,-2.86,-91.93,86.21
r2161,0.0,0.0,-2.86,-91.93,86.21
r2162,0.0,0.0,-2.86,-91.93,86.21
r2163,0.0,0.0,-2.86,-91.93,86.21
r2164,0.0,0.0,-2.86,-91.93,86.21
r2165,0.0,0.0,-2.86,-91.93,86.21
r2166,0.0,0.0,0.03,-89.03,89.1
r2167,0.0,0.0,0.03,-89.03,89.1
r2168,0.0,0.0,0.03,-89.03,89.1
r2169,0.0,0.0,0.04,-89.03,89.1
r2170,0.0,0.0,0.04,-89.03,89.1
r2171,0.0,0.0,0.04,-89.03,89.1
r2172,0.0,0.0,0.03,-89.03,89.1
r2173,0.0,0.0,0.03,-89.03,89.1
r2174,0.0,0.0,0.03,-89.03,89.1
r2175,0.0,0.0,-2.86,-91.93,86.21
r2176,0.0,0.0,-2.86,-91.93,86.21
r2177,0.0,0.0,-2.86,-91.93,86.21
r2178,0.0,0.0,-2.86,-91.93,86.21
r2179,0.0,0.0,-2.86,-91.93,86.21
r2180,0.0,0.0,-2.86,-91.93,86.21
r2181,0.0,0.0,-2.86,-91.93,86.21
r2182,0.0,0.0,-2.86,-91.93,86.21
r2183,0.0,0.0,-2.86,-91.93,86.21
r2184,0.0,0.0,2.93,-86.14,92.0
r2185,0.0,0.0,2.93,-86.14,92.0
r2186,0.0,0.0,2.93,-86.14,92.0
r2187,0.0,0.0,2.93,-86.14,92.0
r2188,0.0,0.0,2.93,-86.14,92.0
r2189,0.0,0.0,2.93,-86.14,92.0
r2190,0.0,0.0,-2.86,-91.93,86.21
r2191,0.0,0.0,-2.86,-91.93,86.21
r2192,0.0,0.0,-2.86,-91.93,86.21
r2193,0.0,0.0,-0.01,-89.07,89.06
r2194,0.0,0.0,-5.1,-94.17,83.96
r2195,0.0,0.0,-5.67,-94.74,83.4
r2196,0.0,0.0,-5.11,-94.18,83.96
r2197,0.0,0.0,-2.9,-91.97,86.16
r2198,0.0,0.0,0.05,-89.01,89.12
r2199,0.0,0.0,-0.01,-89.07,89.06
r2200,0.0,0.0,-2.9,-91.97,86.16
r2201,0.0,0.0,-2.85,-91.92,86.21
r2202,0.0,0.0,-5.8,-94.87,83.27
r2203,0.0,0.0,2.93,-86.14,92.0
r2204,0.0,0.0,2.93,-86.14,92.0
r2205,0.0,0.0,2.93,-86.14,92.0
r2206,0.0,0.0,-2.16,-91.23,86.9
r2207,0.0,0.0,-2.16,-91.23,86.9
r2208,0.0,0.0,-2.16,-91.23,86.9
r2209,0.0,0.0,-2.73,-91.8,86.33
r2210,0.0,0.0,-2.73,-91.8,86.33
r2211,0.0,0.0,-2.73,-91.8,86.33
r2212,0.0,0.0,-2.17,-91.24,86.9
r2213,0.0,0.0,-2.17,-91.24,86.9
r2214,0.0,0.0,-2.17,-91.24,86.9
r2215,0.0,0.0,0.03,-89.03,89.1
r2216,0.0,0.0,0.03,-89.03,89.1
r2217,0.0,0.0,0.03,-89.03,89.1
r2218,0.0,0.0,0.03,-89.03,89.1
r2219,0.0,0.0,0.03,-89.03,89.1
r2220,0.0,0.0,0.03,-89.03,89.1
r2221,0.0,0.0,2.99,-86.08,92.06
r2222,0.0,0.0,2.99,-86.08,92.06
r2223,0.0,0.0,2.99,-86.08,92.06
r2224,0.0,0.0,0.04,-89.03,89.1
r2225,0.0,0.0,0.04,-89.03,89.1
r2226,0.0,0.0,0.04,-89.03,89.1
r2227,0.0,0.0,0.04,-89.03,89.1
r2228,0.0,0.0,0.04,-89.03,89.1
r2229,0.0,0.0,0.04,-89.03,89.1
r2230,0.0,0.0,2.93,-86.13,92.0
r2231,0.0,0.0,2.93,-86.13,92.0
r2232,0.0,0.0,2.93,-86.13,92.0
r2233,0.0,0.0,0.46,-88.6,89.53
r2234,0.0,0.0,0.46,-88.6,89.53
r2235,0.0,0.0,0.46,-88.6,89.53
r2236,0.0,0.0,-2.86,-91.93,86.2
r2237,0.0,0.0,-2.86,-91.93,86.2
r2238,0.0,0.0,-2.86,-91.93,86.2
r2239,0.0,0.0,0.03,-89.03,89.1
r2240,0.0,0.0,0.03,-89.03,89.1
r2241,0.0,0.0,0.03,-89.03,89.1
r2242,0.0,0.0,0.03,-89.03,89.1
r2243,0.0,0.0,0.03,-89.03,89.1
r2244,0.0,0.0,0.03,-89.03,89.1
r2245,0.0,0.0,0.03,-89.03,89.1
r2246,0.0,0.0,0.03,-89.03,89.1
r2247,0.0,0.0,0.03,-89.03,89.1
r2248,0.0,0.0,0.09,-88.98,89.15
r2249,0.0,0.0,0.09,-88.98,89.15
r2250,0.0,0.0,0.09,-88.98,89.15
r2251,0.0,0.0,2.99,-86.08,92.06
r2252,0.0,0.0,2.99,-86.08,92.06
r2253,0.0,0.0,2.99,-86.08,92.06
r2254,0.0,0.0,-2.86,-91.93,86.21
r2255,0.0,0.0,-2.86,-91.93,86.21
r2256,0.0,0.0,-2.86,-91.93,86.21
r2257,0.0,0.0,0.03,-89.03,89.1
r2258,0.0,0.0,0.03,-89.03,89.1
r2259,0.0,0.0,0.03,-89.03,89.1
r2260,0.0,0.0,0.03,-89.03,89.1
r2261,0.0,0.0,0.03,-89.03,89.1
r2262,0.0,0.0,0.03,-89.03,89.1
r2263,0.0,0.0,0.03,-89.03,89.1
r2264,0.0,0.0,0.03,-89.03,89.1
r2265,0.0,0.0,0.03,-89.03,89.1
r2266,0.0,0.0,0.03,-89.03,89.1
r2267,0.0,0.0,0.03,-89.03,89.1
r2268,0.0,0.0,0.03,-89.03,89.1
r2269,0.0,0.0,0.03,-89.03,89.1
r2270,0.0,0.0,0.03,-89.03,89.1
r2271,0.0,0.0,0.03,-89.03,89.1
r2272,0.0,0.0,0.03,-89.03,89.1
r2273,0.0,0.0,0.03,-89.03,89.1
r2274,0.0,0.0,0.03,-89.03,89.1
r2275,0.0,0.0,0.03,-89.03,89.1
r2276,0.0,0.0,0.03,-89.03,89.1
r2277,0.0,0.0,0.03,-89.03,89.1
r2278,0.0,0.0,0.03,-89.03,89.1
r2279,0.0,0.0,0.03,-89.03,89.1
r2280,0.0,0.0,0.03,-89.03,89.1
r2281,0.0,0.0,0.03,-89.03,89.1
r2282,0.0,0.0,0.03,-89.03,89.1
r2283,0.0,0.0,0.03,-89.03,89.1
r2284,0.0,0.0,0.03,-89.03,89.1
r2285,0.0,0.0,0.03,-89.03,89.1
r2286,0.0,0.0,0.03,-89.03,89.1
r2287,0.0,0.0,0.03,-89.03,89.1
r2288,0.0,0.0,0.03,-89.03,89.1
r2289,0.0,0.0,0.03,-89.03,89.1
r2290,0.0,0.0,0.03,-89.03,89.1
r2291,0.0,0.0,0.03,-89.03,89.1
r2292,0.0,0.0,0.03,-89.03,89.1
r2293,0.0,0.0,0.03,-89.03,89.1
r2294,0.0,0.0,0.03,-89.03,89.1
r2295,0.0,0.0,0.03,-89.03,89.1
r2296,0.0,0.0,0.03,-89.03,89.1
r2297,0.0,0.0,0.03,-89.03,89.1
r2298,0.0,0.0,0.03,-89.03,89.1
r2299,0.0,0.0,0.03,-89.03,89.1
r2300,0.0,0.0,0.03,-89.03,89.1
r2301,0.0,0.0,0.03,-89.03,89.1
r2302,0.0,0.0,0.03,-89.03,89.1
r2303,0.0,0.0,0.03,-89.03,89.1
r2304,0.0,0.0,0.03,-89.03,89.1
r2305,0.0,0.0,0.03,-89.03,89.1
r2306,0.0,0.0,0.03,-89.03,89.1
r2307,0.0,0.0,0.03,-89.03,89.1
r2308,0.0,0.0,-8.85,-97.91,80.22
r2309,0.0,0.0,-8.66,-97.73,80.41
r2310,0.0,0.0,-8.68,-97.75,80.38
r2311,0.0,0.0,-8.69,-97.76,80.37
r2312,0.0,0.0,-8.68,-97.75,80.39
r2313,0.0,0.0,-2.91,-91.97,86.16
r2314,0.0,0.0,-2.48,-91.54,86.59
r2315,0.0,0.0,-5.8,-94.87,83.27
r2316,-0.0,0.0,-2.9,-91.97,86.16
r2317,0.0,0.0,-2.91,-91.97,86.16
r2318,0.0,0.0,0.05,-89.01,89.12
r2319,0.0,0.0,-2.9,-91.97,86.16
r2320,0.0,0.0,-2.9,-91.97,86.16
r2321,0.0,0.0,-2.9,-91.97,86.16
r2322,0.0,0.0,-2.9,-91.97,86.16
r2323,0.0,0.0,-2.9,-91.97,86.16
r2324,0.0,0.0,-2.9,-91.97,86.16
r2325,0.0,0.0,-2.9,-91.97,86.16
r2326,0.0,0.0,-2.9,-91.97,86.16
r2327,0.0,0.0,-2.9,-91.97,86.16
r2328,0.0,0.0,-2.9,-91.97,86.16
r2329,0.0,0.0,-2.9,-91.97,86.16
r2330,0.0,0.0,-2.9,-91.97,86.16
r2331,0.0,0.0,-2.9,-91.97,86.16
r2332,0.0,0.0,-2.9,-91.97,86.16
r2333,0.0,0.0,-2.9,-91.97,86.16
r2334,0.0,0.0,-2.9,-91.97,86.16
r2335,0.0,0.0,-2.9,-91.97,86.16
r2338,0.0,0.0,-2.89,-32.58,26.79
r2341,0.0,0.0,5.85,-23.84,35.54
r2342,0.0,0.0,2.89,-26.79,32.58
r2343,0.0,0.0,2.89,-26.79,32.58
r2344,0.0,0.0,5.79,-23.9,35.48
r2346,0.0,0.0,-0.0,-29.69,29.69
r2347,0.0,0.0,2.89,-26.79,32.58
r2352,0.0,0.0,0.69,-29.0,30.38
r2353,0.0,0.0,-0.0,-29.69,29.69
r2354,0.0,0.0,2.89,-26.8,32.58
r2355,0.0,0.0,2.89,-26.8,32.58
r2356,0.0,0.0,2.89,-26.79,32.58
r2357,0.0,0.0,2.89,-26.79,32.58
r2358,0.0,0.0,2.89,-26.79,32.58
r2359,0.0,0.0,2.89,-26.79,32.58
r2360,0.0,0.0,2.89,-26.8,32.58
r2361,0.0,0.0,2.89,-26.8,32.58
r2362,0.0,0.0,2.89,-26.8,32.58
r2363,0.0,0.0,2.89,-26.79,32.58
r2364,0.0,0.0,2.89,-26.79,32.58
r2365,0.0,0.0,2.89,-26.8,32.58
r2366,0.0,0.0,2.89,-26.79,32.58
r2367,0.0,0.0,2.89,-26.79,32.58
r2368,0.0,0.0,2.89,-26.79,32.58
r2369,0.0,0.0,2.89,-26.8,32.58
r2370,0.0,0.0,-3.11,-92.18,85.95
r2371,0.0,0.0,0.0,-59.37,59.38
r2372,0.0,0.0,0.0,-59.38,59.38
r2373,0.0,0.0,-14.96,-74.34,44.42
r2374,0.0,0.0,-14.96,-74.34,44.42
r2375,0.0,0.0,-14.94,-74.32,44.44
r2376,0.0,0.0,-14.96,-74.34,44.42
r2377,0.0,0.0,-14.96,-74.34,44.41
r2378,0.0,0.0,-14.94,-74.32,44.43
r2379,0.0,0.0,-14.96,-74.34,44.42
r2380,0.0,0.0,-14.96,-74.34,44.41
r2381,0.0,0.0,-4.74,-64.12,54.63
r2382,0.0,0.0,-4.77,-64.14,54.61
r2384,0.0,0.0,-4.74,-64.12,54.63
r2385,0.0,0.0,-4.74,-64.12,54.63
r2386,0.0,0.0,-4.77,-64.14,54.61
r2387,0.0,0.0,-4.75,-64.13,54.63
r2388,0.0,0.0,-4.74,-64.12,54.63
r2389,0.0,0.0,-4.74,-64.12,54.64
r2390,0.0,0.0,-4.76,-64.14,54.61
r2391,0.0,0.0,-4.75,-64.13,54.63
r2392,-0.0,0.0,-4.74,-64.12,54.64
r2393,0.0,0.0,0.02,-59.36,59.4
r2394,0.0,0.0,0.02,-59.36,59.39
r2395,0.0,0.0,-19.79,-79.16,39.59
r2396,0.0,0.0,-19.71,-79.08,39.67
r2397,0.0,0.0,-4.7,-64.07,54.68
r2398,0.0,0.0,-4.89,-64.26,54.49
r2399,0.0,0.0,-19.63,-79.0,39.75
r2400,0.0,0.0,-19.63,-79.0,39.75
r2401,0.0,0.0,-4.62,-63.99,54.76
r2402,0.0,0.0,-4.81,-64.18,54.57
r2403,0.0,0.0,-19.71,-79.08,39.67
r2404,0.0,0.0,-19.79,-79.16,39.59
r2405,0.0,0.0,-4.7,-64.07,54.68
r2406,0.0,0.0,-34.71,-94.09,24.66
r2407,0.0,0.0,-34.79,-94.17,24.58
r2408,0.0,0.0,-34.71,-94.09,24.66
r2409,0.0,0.0,-19.89,-79.27,39.48
r2410,0.0,0.0,-34.52,-93.9,24.85
r2411,0.0,0.0,-34.6,-93.98,24.77
r2412,0.0,0.0,-34.52,-93.9,24.85
r2413,0.0,0.0,-19.52,-78.89,39.86
r2416,0.0,0.0,-19.68,-49.37,10.01
r2419,0.0,0.0,-0.35,-59.73,59.03
r2420,0.0,0.0,-0.35,-59.73,59.03
r2425,0.0,0.0,-0.25,-59.62,59.13
r2433,0.0,0.0,-0.0,-59.38,59.38
r2434,0.0,0.0,0.0,-59.38,59.38
r2435,0.0,0.0,0.0,-59.38,59.38
r2436,0.0,0.0,-0.0,-59.38,59.38
r2437,0.0,0.0,-0.0,-59.38,59.38
r2438,0.0,0.0,0.0,-59.38,59.38
r2439,0.0,0.0,2.93,-56.45,62.31
r2447,0.0,0.0,-3.0,-62.37,56.38
r2449,0.0,0.0,-2.96,-62.33,56.42
r2465,0.0,0.0,5.97,-23.72,35.66
r2471,0.0,0.0,-1.66,-31.35,28.03
r2472,0.0,0.0,-0.21,-59.59,59.17
r2473,-0.0,0.0,0.0,-59.38,59.38
r2482,0.0,0.0,5.91,-83.16,94.97
r2483,0.0,0.0,5.91,-83.16,94.97
r2484,0.0,0.0,5.91,-83.16,94.97
r2485,0.0,0.0,5.72,-83.35,94.79
r2486,0.0,0.0,5.72,-83.35,94.79
r2487,0.0,0.0,5.72,-83.35,94.79
r2488,0.0,0.0,5.74,-83.32,94.81
r2489,0.0,0.0,5.74,-83.32,94.81
r2490,0.0,0.0,5.74,-83.32,94.81
r2491,0.0,0.0,5.75,-83.31,94.82
r2492,0.0,0.0,5.75,-83.31,94.82
r2493,0.0,0.0,5.75,-83.31,94.82
r2494,0.0,0.0,5.74,-83.32,94.81
r2495,0.0,0.0,5.74,-83.32,94.81
r2496,0.0,0.0,5.74,-83.32,94.81
r2497,11.33,4.76,-30.24,-140.51,26.58
r2498,11.33,4.76,-30.24,-140.51,26.58
r2499,11.33,4.76,-33.81,-144.07,23.01
r2501,11.33,4.76,-33.81,-144.07,23.01
r2502,11.33,4.76,-33.81,-144.07,23.01
r2503,11.33,4.76,-33.81,-144.07,23.01
r2505,11.33,4.76,-34.84,-145.1,21.98
r2506,0.0,0.0,0.0,-59.38,59.38
r2507,-0.0,0.0,0.0,-59.38,59.38
r2508,0.0,0.0,0.0,-59.38,59.38
r2509,0.0,0.0,0.0,-59.38,59.38
r2510,0.0,0.0,0.0,-59.38,59.38
r2511,0.0,0.0,0.0,-59.38,59.38
r2512,0.0,0.0,-0.0,-59.38,59.38
r2513,0.0,0.0,0.0,-59.38,59.38
r2514,0.0,0.0,0.0,-59.38,59.38
r2515,0.0,0.0,-0.0,-59.38,59.38
r2516,0.0,0.0,-1.19,-30.88,28.5
r2517,11.33,4.76,-30.24,-140.5,26.58
r2518,11.33,4.76,-30.24,-140.51,26.58
r2519,0.0,0.0,0.0,-29.69,29.69
r2520,0.0,0.0,-15.35,-74.72,44.03
r2521,0.0,0.0,0.0,-59.38,59.38
r2525,0.0,0.0,0.02,-29.67,29.71
r2526,0.0,0.0,0.05,-29.64,29.74
r2532,0.0,0.0,0.14,-29.55,29.83
r2534,0.0,0.0,0.04,-29.65,29.73
r2535,0.0,0.0,0.03,-29.66,29.72
r2537,0.0,0.0,0.0,-29.69,29.69
r2538,0.0,0.0,0.0,-29.69,29.69
r2539,0.0,0.0,-14.94,-74.32,44.44
RE0124C,30.04,7.03,-12.99,-86.15,60.16
RE0344C,18.75,5.46,-25.55,-107.51,2.97
RE0344M,18.75,5.46,-30.59,-112.55,-2.07
RE0344X,18.75,5.46,-24.34,-106.3,4.18
RE0383C,65.21,7.6,16.54,-57.73,90.81
RE0452M,0.14,5.49,-6.64,-76.77,63.5
RE0452N,0.14,5.49,-2.03,-72.16,68.11
RE0453C,-2.73,4.13,-2.79,-70.27,64.68
RE0453M,-2.73,4.13,-3.04,-70.52,64.43
RE0453N,-2.73,4.13,-2.79,-70.27,64.68
RE0456M,-128.27,5.21,-128.24,-197.83,-58.66
RE0456N,-128.27,5.21,-128.26,-197.85,-58.68
RE0565C,-33.95,9.05,16.05,-102.64,81.29
RE0566C,-59.35,5.12,-10.58,-79.99,58.82
RE0569C,-33.95,9.05,16.05,-102.64,81.29
RE0569E,-33.95,9.05,17.15,-101.54,82.39
RE0570C,-59.35,5.12,-10.58,-79.99,58.82
RE0573N,-33.95,9.05,16.05,-102.64,81.29
RE0574C,-59.35,5.12,-10.58,-79.99,58.82
RE0577C,18.75,5.46,-25.55,-107.51,2.97
RE0577M,18.75,5.46,-30.59,-112.55,-2.07
RE0577X,18.75,5.46,-24.34,-106.3,4.18
RE0578C,18.75,5.46,-25.55,-107.51,2.97
RE0578M,18.75,5.46,-30.59,-112.55,-2.07
RE0578X,18.75,5.46,-24.34,-106.3,4.18
RE0579C,18.75,5.46,-25.55,-107.51,2.97
RE0579M,18.75,5.46,-30.59,-112.55,-2.07
RE0579X,18.75,5.46,-24.34,-106.3,4.18
RE0580L,-29.52,9.27,10.26,-108.86,75.94
RE0580R,-29.52,9.27,20.47,-98.65,86.15
RE0581C,-59.35,5.12,-10.58,-79.99,58.82
RE0581R,-59.35,5.12,-10.58,-79.99,58.82
RE0582N,11.35,2.92,11.35,-24.07,46.76
RE0583C,-118.13,5.51,-69.46,-139.65,0.72
RE0583N,-118.13,5.51,-69.46,-139.65,0.72
RE0689C,-89.02,8.97,-86.2,-204.72,-21.13
RE0689E,-89.02,8.97,-86.28,-204.8,-21.21
RE0689X,-89.02,8.97,-86.15,-204.67,-21.08
RE0828C,-89.02,8.97,-86.07,-204.59,-21.0
RE0828E,-89.02,8.97,-86.08,-204.59,-21.01
RE0828X,-89.02,8.97,-86.07,-204.58,-20.99
RE0915C,14.01,12.93,14.01,-82.58,57.16
RE0915E,14.1,12.93,14.1,-82.5,57.25
RE0926C,-4.31,3.54,-4.31,-82.5,20.44
RE0926E,-4.22,3.52,-4.22,-82.37,20.48
RE0935C,-4.31,3.54,-4.31,-82.5,20.44
RE0935E,-4.22,3.52,-4.22,-82.37,20.48
RE0944C,-4.31,3.54,-4.31,-82.5,20.44
RE0944E,-4.22,3.52,-4.22,-82.37,20.48
RE0958C,-4.31,3.54,-4.31,-82.5,20.44
RE0958E,-4.22,3.52,-4.22,-82.37,20.48
RE1062C,-13.79,3.56,-14.88,-93.11,9.91
RE1062M,-13.79,3.56,-17.66,-95.89,7.13
RE1096C,-505.14,6.04,-500.71,-601.62,-399.8
RE1096M,-505.14,6.04,-500.7,-601.61,-399.79
RE1096R,-505.14,6.04,-500.71,-601.62,-399.8
RE1134C,-506.89,6.41,-502.46,-604.1,-400.83
RE1134M,-506.89,6.41,-502.46,-604.09,-400.82
RE1134R,-506.89,6.41,-502.46,-604.1,-400.83
RE1233C,-108.22,11.88,-106.71,-189.37,-24.05
RE1233M,-108.22,11.88,-106.55,-189.21,-23.89
RE1234C,35.42,5.91,-4.38,-75.35,66.59
RE1235C,35.42,5.91,-4.48,-75.45,66.49
RE1236C,35.42,5.91,-5.91,-76.88,65.06
RE1238X,35.42,5.91,-1.73,-72.7,69.23
RE1240C,35.42,5.91,-4.38,-75.35,66.59
RE1254C,-16.0,10.56,28.35,-22.05,78.74
RE1266C,-456.1,8.25,-456.1,-531.65,-380.56
RE1303C,-450.36,7.01,-401.7,-462.95,-287.01
RE1308C,-443.83,6.88,-395.16,-456.15,-280.73
RE1308M,-443.83,6.88,-390.41,-451.4,-275.98
RE1309C,-434.69,6.94,-388.98,-450.09,-274.43
RE1309M,-434.69,6.94,-384.23,-445.34,-269.68
RE1317C,55.17,5.36,9.46,-60.44,79.35
RE1342C,54.61,5.01,8.9,-60.3,78.09
RE1473C,-8.16,4.19,-8.67,-76.26,58.92
RE1508C,26.14,6.88,-19.72,-92.57,53.14
RE1514M,-33.59,3.65,-24.67,-120.9,71.55
RE1514X,-33.59,3.65,-27.03,-123.26,69.19
RE1519X,50.5,5.43,50.74,-19.28,120.75
RE1520M,-11.35,2.92,-11.35,-46.76,24.07
RE1520X,-11.35,2.92,-11.35,-46.76,24.07
RE1530C,27.5,5.65,-12.54,-82.99,57.92
RE1530M,27.5,5.65,-17.05,-87.5,53.41
RE1537C,-81.36,16.01,-81.36,-213.68,-2.47
RE1537X,-81.36,16.01,-81.36,-213.68,-2.47
RE1538C,-81.36,16.01,-81.36,-213.68,-2.47
RE1538X,-81.36,16.01,-81.36,-213.68,-2.47
RE1539C,-81.36,16.01,-81.36,-213.68,-2.47
RE1539X,-81.36,16.01,-81.36,-213.68,-2.47
RE1573M,0.0,0.0,0.0,-29.69,29.69
RE1573X,0.0,0.0,0.0,-29.69,29.69
RE1711C,64.89,5.15,16.22,-53.25,85.69
RE1711M,64.89,5.15,11.47,-58.0,80.94
RE1796C,40.38,6.09,-5.33,-76.65,65.99
RE1796M,40.38,6.09,-10.08,-81.4,61.24
RE1796R,40.38,6.09,-5.33,-76.65,65.99
RE1803C,-451.98,7.18,-403.32,-464.9,-288.29
RE1804M,61.46,5.14,11.0,-58.44,80.45
RE1806C,-450.36,7.01,-401.7,-462.95,-287.01
RE1806R,-450.36,7.01,-401.7,-462.95,-287.01
RE1807C,49.6,9.7,-43.3,-121.69,35.08
RE1807M,49.6,9.7,-52.8,-131.19,25.58
RE1808R,-443.83,6.88,-395.16,-456.15,-280.73
RE1809C,-443.83,6.88,-395.16,-456.15,-280.73
RE1809R,-443.83,6.88,-395.16,-456.15,-280.73
RE1810M,136.88,18.89,30.04,-96.05,156.13
RE1811C,-443.83,6.88,-395.16,-456.15,-280.73
RE1811R,-443.83,6.88,-395.16,-456.15,-280.73
RE1812C,-438.12,6.95,-389.45,-450.58,-274.89
RE1812R,-438.12,6.95,-389.45,-450.58,-274.89
RE1834C,18.75,5.46,-25.54,-107.5,2.98
RE1834M,18.75,5.46,-30.59,-112.55,-2.07
RE1834X,18.75,5.46,-24.33,-106.29,4.18
RE1835C,18.75,5.46,-25.54,-107.5,2.97
RE1835M,18.75,5.46,-30.59,-112.55,-2.07
RE1835X,18.75,5.46,-24.34,-106.29,4.18
RE1836C,-400.95,7.09,-400.89,-462.3,-286.05
RE1836M,-400.95,7.09,-400.59,-462.0,-285.75
RE1836X,-400.95,7.09,-400.92,-462.32,-286.07
RE1846C,32.55,6.05,1869.37,1798.13,1940.6
RE1846X,32.55,6.05,-10.51,-81.75,60.72
RE1860C,-0.09,7.65,-45.86,-90.53,-1.19
RE1860E,-0.09,7.65,-47.04,-91.72,-2.37
RE1899C,-13.33,4.66,-11.84,-80.36,56.68
RE1901R,40.65,10.59,-49.3,-129.44,30.83
RE1903R,40.65,10.59,-49.3,-129.44,30.83
RE1906C,-457.51,8.34,-408.84,-472.68,-291.56
RE1906R,-457.51,8.34,-408.84,-472.68,-291.56
RE1907C,0.0,0.0,0.0,-29.69,29.69
RE1915C,-94.84,15.46,-94.85,-142.96,6.7
RE1918C,-9.42,14.03,-9.48,-54.79,89.27
RE1919C,-7.03,14.8,-5.65,-52.47,94.6
RE1921C,38.34,13.78,-48.78,-147.05,-3.95
RE1927C,-9.97,13.76,-10.0,-54.78,88.23
RE1938C,-465.18,8.55,-416.52,-480.78,-298.82
RE1938R,-465.18,8.55,-416.52,-480.78,-298.82
RE1941C,-957.17,14.27,-859.84,-953.12,-659.68
RE1941R,-957.17,14.27,-859.84,-953.12,-659.68
RE1942C,-957.17,14.27,-859.84,-953.12,-659.68
RE1942R,-957.17,14.27,-859.84,-953.12,-659.68
RE1943C,-438.12,6.95,-389.45,-450.58,-274.89
RE1943R,-438.12,6.95,-389.45,-450.58,-274.89
RE1954C,-118.13,5.51,-69.46,-139.65,0.72
RE1978C,13.88,2.73,12.38,-64.23,35.54
RE2030M,14.12,5.53,-35.09,-105.29,35.12
RE2031M,30.74,6.68,-18.46,-90.92,54.01
RE2032M,42.56,9.15,-5.47,-82.78,71.84
RE2034C,-7.57,6.32,-6.11,-77.88,65.67
RE2051C,-15.57,2.45,-15.88,-91.94,6.75
RE2051G,-15.57,2.45,-16.96,-93.03,5.66
RE2051R,-15.57,2.45,-15.88,-91.94,6.75
RE2067C,19.2,6.93,-25.03,-109.86,6.36
RE2069C,-80.21,9.89,-80.21,-129.29,-31.13
RE2078M,-0.37,6.28,-0.37,-42.38,41.63
RE2079R,-0.37,6.28,-0.37,-42.38,41.63
RE2080C,-38.51,4.94,-38.51,-77.88,0.86
RE2081C,35.42,5.91,-8.78,-79.75,62.19
RE2111M,33.83,6.71,-15.26,-87.8,57.28
RE2112C,451.98,7.18,403.31,288.29,464.9
RE2112R,451.98,7.18,403.31,288.29,464.9
RE2117M,33.83,6.71,-15.26,-87.8,57.28
RE2128C,-21.18,14.19,-21.21,-66.84,77.86
RE2129C,-21.18,14.19,-21.21,-66.84,77.86
RE2130C,-21.18,14.19,-21.25,-66.88,77.82
RE2131C,6.58,20.28,-37.24,-94.81,73.76
RE2132C,-29.33,13.86,-29.61,-74.6,68.81
RE2147C,0.86,4.84,-4.18,-73.05,64.69
RE2150C,0.86,4.84,-4.18,-73.05,64.69
RE2150R,0.86,4.84,-4.18,-73.05,64.69
RE2154C,-41.99,5.75,3.71,-66.93,74.36
RE2155C,-434.69,6.94,-388.98,-450.09,-274.43
RE2155R,-434.69,6.94,-388.98,-450.09,-274.43
RE2223M,26.45,9.97,-22.58,-101.49,56.34
RE2240C,-443.83,6.88,-395.16,-456.15,-280.73
RE2251C,-22.65,5.88,-22.65,-63.87,18.56
RE2265C,-17.08,8.23,-15.94,-144.89,6.14
RE2269C,-1.59,11.94,-1.64,-137.87,27.71
RE2269E,-1.59,11.94,-1.67,-137.89,27.68
RE2270C,-11.64,6.29,-11.14,-94.72,18.99
RE2270E,-11.64,6.29,-11.29,-94.87,18.84
RE2272C,-13.79,3.56,-14.83,-93.06,9.96
RE2272L,-13.79,3.56,-13.79,-92.02,11.0
RE2273C,-11.64,6.29,-11.66,-95.24,18.47
